TF_sym	Gene_sym
RUNX1	DNAJC14
RUNX1	DNASE2B
RUNX1	DNHD1
RUNX1	DNM3
RUNX1	DYNLL1
RUNX1	EDARADD
RUNX1	EGR2
RUNX1	EIF2B3
RUNX1	EIF2C1
RUNX1	EIF3J
RUNX1	EMP1
RUNX1	ENTPD1
RUNX1	FAM13C
RUNX1	FCER1G
RUNX1	FGD4
RUNX1	FGF4
RUNX1	FLI1
RUNX1	FOXD2
RUNX1	FOXN3
RUNX1	FRMD4A
RUNX1	GPATCH2
RUNX1	GPD1
RUNX1	GPR137B
RUNX1	GRASP
RUNX1	GRHL3
RUNX1	GRK5
RUNX1	GTF2A1
RUNX1	GZMB
RUNX1	HDGF
RUNX1	HHIPL1
RUNX1	HINFP
RUNX1	HIPK1
RUNX1	HIVEP3
RUNX1	HLX
RUNX1	HOXC4
RUNX1	HOXC6
RUNX1	HP1BP3
RUNX1	ID3
RUNX1	IFNG
RUNX1	IL23A
RUNX1	INPPL1
RUNX1	ITGA10
RUNX1	ITGB7
RUNX1	JDP2
RUNX1	JMJD1C
RUNX1	KCNJ1
RUNX1	KCTD4
RUNX1	KIF1B
RUNX1	KLHDC9
RUNX1	KRT73
RUNX1	KRT74
RUNX1	LCK
RUNX1	LCOR
RUNX1	LMO2
RUNX1	LMO3
RUNX1	LRP5
RUNX1	LRRC16B
RUNX1	LUZP1
RUNX1	LY9
RUNX1	MADD
RUNX1	MAP3K11
RUNX1	MATN1
RUNX1	MDGA2
RUNX1	MEIS2
RUNX1	MIR17HG
RUNX1	MKRN3
RUNX1	MMP13
RUNX1	MMP14
RUNX1	MOAP1
RUNX1	MPL
RUNX1	MR1
RUNX1	MRPL42
RUNX1	MRPS31
RUNX1	MSRB3
RUNX1	MTX1
RUNX1	MYOD1
RUNX1	NAV3
RUNX1	NDUFA9
RUNX1	NFRKB
RUNX1	NGB
RUNX1	NHLRC2
RUNX1	NKX2-1
RUNX1	NOTCH2
RUNX1	NOTCH2NL
RUNX1	NR4A1
RUNX1	NRAS
RUNX1	NRXN3
RUNX1	NSUN4
RUNX1	NUCB2
RUNX1	PACS1
RUNX1	PAX6
RUNX1	PCF11
RUNX1	PCGF6
RUNX1	PDE3B
RUNX1	PDE6H
RUNX1	PDZK1
RUNX1	PDZRN4
RUNX1	PGF
RUNX1	PHF21A
RUNX1	PICALM
RUNX1	PIGV
RUNX1	PLEKHA6
RUNX1	PLXNC1
RUNX1	POU2F1
RUNX1	PRICKLE1
RUNX1	PRR5L
RUNX1	PRRG4
RUNX1	PSMA1
RUNX1	PTPN22
RUNX1	PTPN7
RUNX1	PXN
RUNX1	RAB30
RUNX1	RAB34
RUNX1	RAB5B
RUNX1	RAG1
RUNX1	RASAL2
RUNX1	RASGEF1A
RUNX1	RCC2
RUNX1	RCOR2
RUNX1	RDH5
RUNX1	REXO2
RUNX1	RGS1
RUNX1	RGS18
RUNX1	RHOG
RUNX1	RILPL1
RUNX1	RIN1
RUNX1	RNF19B
RUNX1	RNF220
RUNX1	RORC
RUNX1	S100A9
RUNX1	SCEL
RUNX1	SCN2B
RUNX1	SCN3B
RUNX1	SCN8A
RUNX1	SCNN1A
RUNX1	SEMA4A
RUNX1	SGIP1
RUNX1	SH3BP5L
RUNX1	SIRT1
RUNX1	SLC12A6
RUNX1	SLC15A3
RUNX1	SLC2A3
RUNX1	SLC37A2
RUNX1	SLC37A4
RUNX1	SLC6A9
RUNX1	SLITRK5
RUNX1	SMG7
RUNX1	SNX1
RUNX1	SOX5
RUNX1	SPATA17
RUNX1	SPRYD3
RUNX1	SFRS4
RUNX1	STAT2
RUNX1	STRC
RUNX1	SUPT16H
RUNX1	C1orf26
RUNX1	SYT9
RUNX1	TACC2
RUNX1	TACSTD2
RUNX1	TBK1
RUNX1	TBX5
RUNX1	TCF12
RUNX1	THBS3
RUNX1	TLL2
RUNX1	TMCO1
RUNX1	TMEM109
RUNX1	TMEM117
RUNX1	TMEM136
RUNX1	TMEM151A
RUNX1	TMEM62
RUNX1	TMEM86A
RUNX1	TNFSF4
RUNX1	TNNT2
RUNX1	TPM1
RUNX1	C1orf25
RUNX1	TSPAN32
RUNX1	TSPAN9
RUNX1	TWF1
RUNX1	UBL3
RUNX1	VIM
RUNX1	VRK1
RUNX1	VSIG10
RUNX1	WIBG
RUNX1	WNT8B
RUNX1	XCL1
RUNX1	XCL2
RUNX1	ZBTB25
RUNX1	ZBTB8A
RUNX1	ZNF238
JUN	ABCA2
JUN	ABCB6
JUN	ABCD1
JUN	ABCE1
JUN	ABCF3
JUN	ABHD2
JUN	ABHD4
JUN	ABI3
JUN	ACADVL
JUN	ACPP
JUN	ACSL3
JUN	ACSL4
JUN	ACTN4
JUN	ADAM15
JUN	ADAMTS14
JUN	ADAMTS6
JUN	ADAMTSL1
JUN	ADAP2
JUN	ADCK4
JUN	ADCY8
JUN	ADM
JUN	ADRA1A
JUN	ADRA2C
JUN	AEBP1
JUN	AGBL5
JUN	AGPAT4
JUN	AGPAT9
JUN	AGR2
JUN	AHI1
JUN	AIF1L
JUN	AIG1
JUN	AK5
JUN	AKAP1
JUN	AKIRIN2
JUN	AKR1B1
JUN	AKT1S1
JUN	AKT3
JUN	ALDOA
JUN	ALOXE3
JUN	ALS2
JUN	AMBN
JUN	AMY2B
JUN	ANAPC10
JUN	ANGPT1
JUN	ANGPTL4
JUN	ANK3
JUN	ANKRD22
JUN	ANKRD28
JUN	ANKRD40
JUN	ANXA7
JUN	AP2A2
JUN	AP2M1
JUN	AP4S1
JUN	APOBEC1
JUN	APOB48R
JUN	APP
JUN	AQP5
JUN	ARAP2
JUN	ARF1
JUN	ARHGAP32
JUN	ARHGAP8
JUN	ARHGEF2
JUN	ARID3B
JUN	ARIH1
JUN	ARNTL
JUN	ARNTL2
JUN	ARPC5L
JUN	ARPP21
JUN	ARX
JUN	ASB5
JUN	ASCL2
JUN	ASPH
JUN	ASS1
JUN	ASXL1
JUN	ATF4
JUN	KIAA0652
JUN	ATL1
JUN	ATP11C
JUN	ATP1B1
JUN	ATP2A2
JUN	ATP5A1
JUN	ATP6V0A1
JUN	ATP6V0D2
JUN	ATP6V1A
JUN	ATP6V1C1
JUN	ATP6V1H
JUN	ATXN7L2
JUN	AVP
JUN	AXIN2
JUN	BACH1
JUN	BAG2
JUN	BARHL2
JUN	BAZ2A
JUN	BCAS3
JUN	BCL2L10
JUN	BCL9L
JUN	BDKRB1
JUN	BDKRB2
JUN	BDNF
JUN	BLMH
JUN	BLOC1S1
JUN	BMP2
JUN	BMP5
JUN	BNIP3
JUN	BRD2
JUN	BRE
JUN	BTBD11
JUN	BTG3
JUN	BTK
JUN	BUB3
JUN	C10orf140
JUN	C10orf46
JUN	C11orf49
JUN	C11orf9
JUN	C12orf53
JUN	C14orf43
JUN	C15orf39
JUN	C15orf53
JUN	C17orf28
JUN	C19orf33
JUN	C19orf55
JUN	C1orf177
JUN	C1orf21
JUN	C1orf210
JUN	C1orf220
JUN	C1QTNF8
JUN	C22orf31
JUN	C2CD2L
JUN	C2orf18
JUN	C2orf55
JUN	C3AR1
JUN	C4orf26
JUN	C7orf68
JUN	C8orf86
JUN	C9orf139
JUN	C9orf16
JUN	C9orf167
JUN	CA7
JUN	CA9
JUN	CAB39
JUN	CACNA1A
JUN	CALB2
JUN	CAMK4
JUN	CAMKK1
JUN	CAPN12
JUN	CAPN6
JUN	CAPNS1
JUN	CASK
JUN	CASKIN1
JUN	CBFA2T2
JUN	CCDC14
JUN	CCDC141
JUN	CCDC50
JUN	CCDC56
JUN	CCDC64
JUN	CCL27
JUN	CCR7
JUN	CCR9
JUN	CD109
JUN	CD151
JUN	CD244
JUN	CD68
JUN	CDC14A
JUN	CDH23
JUN	CDH5
JUN	CDK14
JUN	CDKN1A
JUN	CDKN2C
JUN	CEP135
JUN	CEPT1
JUN	CHCHD4
JUN	CHP
JUN	CHPF2
JUN	CHRM1
JUN	CHST1
JUN	CHST4
JUN	CHST9
JUN	CIDEC
JUN	CIRBP
JUN	CLC
JUN	CLCN5
JUN	CLDN15
JUN	CLDN16
JUN	CLDN17
JUN	CLDN4
JUN	CLDN9
JUN	CLIC1
JUN	CLRN1
JUN	CLSTN3
JUN	CLVS1
JUN	CMAS
JUN	CNGB3
JUN	CNOT6L
JUN	CNTD1
JUN	CNTF
JUN	CNTNAP2
JUN	COBL
JUN	COL16A1
JUN	COL1A1
JUN	COL27A1
JUN	COL5A2
JUN	COL5A3
JUN	COL7A1
JUN	COMMD10
JUN	CPA4
JUN	CPA6
JUN	CPNE1
JUN	CPNE8
JUN	CPSF7
JUN	CRB3
JUN	CREB5
JUN	CRISP1
JUN	CRYBA2
JUN	CRYGS
JUN	CSF1R
JUN	CSF3
JUN	CSMD3
JUN	CSN1S1
JUN	CSNK1A1
JUN	CSPG4
JUN	CSRNP1
JUN	CST6
JUN	CST7
JUN	CTHRC1
JUN	CTNNAL1
JUN	CTTNBP2NL
JUN	CXCL14
JUN	CXCL5
JUN	CXCR5
JUN	CYFIP1
JUN	DCAKD
JUN	DCLK1
JUN	DCT
JUN	DCTN2
JUN	DCX
JUN	DDIT3
JUN	DDR1
JUN	DDX17
JUN	DENND1B
JUN	DES
JUN	DFNA5
JUN	DGKA
JUN	DGKB
JUN	DHRS3
JUN	DHX40
JUN	DIAPH1
JUN	DIRAS1
JUN	DLG4
JUN	DLL1
JUN	DLX1
JUN	DMD
JUN	DMKN
JUN	DMPK
JUN	DNAJC5B
JUN	DOCK4
JUN	DOK1
JUN	DPYD
JUN	DRP2
JUN	DSC2
JUN	DSC3
JUN	DSTN
JUN	DTNA
JUN	DTNB
JUN	DTX2
JUN	DUSP13
JUN	DUSP14
JUN	DUSP22
JUN	DYNC1H1
JUN	DYNC1LI1
JUN	DYRK1A
JUN	DYSF
JUN	EAF1
JUN	EBF2
JUN	ECM1
JUN	EDN3
JUN	EEF1A1
JUN	EEF1A2
JUN	EFNA1
JUN	EHF
JUN	EIF3J
JUN	EIF4G1
JUN	ELAVL2
JUN	ELK3
JUN	ELL
JUN	ELOVL1
JUN	ELOVL4
JUN	EML3
JUN	EMP1
JUN	EMP3
JUN	EN1
JUN	ENO1
JUN	ENO2
JUN	ENO3
JUN	EPB41L1
JUN	EPHA1
JUN	EPHA2
JUN	EPHB2
JUN	EPHX4
JUN	EPN3
JUN	EPS8L3
JUN	ESR1
JUN	ESRRG
JUN	ETFB
JUN	ETV4
JUN	ETV5
JUN	EXD1
JUN	EYA1
JUN	F2RL2
JUN	F3
JUN	FABP4
JUN	FADS3
JUN	FAM100A
JUN	FAM100B
JUN	FAM117A
JUN	FAM120C
JUN	FAM135B
JUN	FAM164C
JUN	FAM180A
JUN	FAM184A
JUN	FAM198B
JUN	FAM19A4
JUN	FAM20A
JUN	FAM46A
JUN	FAM46B
JUN	FAM49A
JUN	FAM81A
JUN	FAM91A1
JUN	FAP
JUN	FBP2
JUN	FBRS
JUN	FBXO2
JUN	FBXO24
JUN	FBXO30
JUN	FBXO44
JUN	FBXW11
JUN	FCHSD1
JUN	FERMT3
JUN	FEZF2
JUN	FGF1
JUN	FGF10
JUN	FGF11
JUN	FGF12
JUN	FGF13
JUN	FGF9
JUN	FHL3
JUN	FIGF
JUN	FKBP5
JUN	FLI1
JUN	FLNC
JUN	FOSL1
JUN	FOXA1
JUN	FOXN1
JUN	FRMD5
JUN	FST
JUN	FURIN
JUN	G0S2
JUN	GAB2
JUN	GABARAPL1
JUN	GADD45A
JUN	GADD45B
JUN	GADD45G
JUN	GALNT13
JUN	GAPDH
JUN	GAPDHS
JUN	GAST
JUN	GDNF
JUN	GEN1
JUN	GFAP
JUN	GFI1
JUN	GFRA1
JUN	GGN
JUN	GIGYF2
JUN	GIPC1
JUN	GIT1
JUN	GIT2
JUN	GJA1
JUN	GJA5
JUN	GJB3
JUN	GJB5
JUN	GKN1
JUN	GLI2
JUN	GLT8D2
JUN	GNAI1
JUN	GNGT2
JUN	GPC3
JUN	GPM6A
JUN	GPNMB
JUN	GPR111
JUN	GPR112
JUN	GPR141
JUN	GPR158
JUN	GPR183
JUN	GPR3
JUN	GPR55
JUN	GPR56
JUN	GPR87
JUN	GPRIN3
JUN	GPX1
JUN	GRIA1
JUN	GSTP1
JUN	GTF2F2
JUN	GTPBP2
JUN	GZMB
JUN	H3F3B
JUN	HARBI1
JUN	HAUS1
JUN	HBEGF
JUN	HCFC1R1
JUN	HCLS1
JUN	HCN3
JUN	HDAC3
JUN	HDAC9
JUN	HEPH
JUN	HK3
JUN	HMGA1
JUN	HNF1A
JUN	HNRNPD
JUN	HOXA11
JUN	HOXB4
JUN	HOXC10
JUN	HPCAL4
JUN	HS3ST2
JUN	HS3ST3B1
JUN	HSD3B7
JUN	HSPA9
JUN	HSPB3
JUN	HSPB6
JUN	HSPB7
JUN	HSPG2
JUN	HTR1D
JUN	IDS
JUN	IGFBP6
JUN	IGSF21
JUN	IGSF3
JUN	IGSF8
JUN	IGSF9
JUN	IL10
JUN	IL11
JUN	IL16
JUN	IL1R1
JUN	IL1RN
JUN	IL21
JUN	IL22RA1
JUN	IL23A
JUN	IL24
JUN	IL27
JUN	IL6
JUN	IL7R
JUN	IL9
JUN	ILDR2
JUN	IPO11
JUN	IQCF1
JUN	IQSEC1
JUN	IRAK1
JUN	ISG20
JUN	ITGA2
JUN	ITGAX
JUN	ITGB4
JUN	ITM2B
JUN	ITPKC
JUN	IVL
JUN	JAK2
JUN	JAZF1
JUN	KBTBD10
JUN	KBTBD5
JUN	KBTBD8
JUN	KCNA2
JUN	KCND1
JUN	KCNH2
JUN	KCNH3
JUN	KCNK1
JUN	KCNK10
JUN	KCNN4
JUN	KCNQ1DN
JUN	KDM3A
JUN	KDM5C
JUN	KIAA0182
JUN	KIRREL3
JUN	KLF5
JUN	KLF9
JUN	KLHL13
JUN	KLHL7
JUN	KLK12
JUN	KPNA4
JUN	KRT13
JUN	KRT14
JUN	KRT15
JUN	KRT16
JUN	KRT17
JUN	KRT19
JUN	KRT25
JUN	KRT78
JUN	KRT8
JUN	KRT86
JUN	KRTAP13-2
JUN	KY
JUN	LAMA3
JUN	LAMB3
JUN	LAMC1
JUN	LAMC2
JUN	LAT
JUN	LDB3
JUN	LENEP
JUN	LGALS1
JUN	LGALS3
JUN	LGALS7
JUN	HSPC159
JUN	LGI3
JUN	NCRNA00152
JUN	LMNA
