"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SYT8"	2.48290678807266	-0.169510404324167	13.2334001009673	5.20112056724234e-37	3.43961847577533e-34	73.0374745334123
"TBC1D9"	-1.54879500922253	8.0129878061397	-13.2154771009069	6.37488302748658e-37	4.0841086545782e-34	72.9002290816705
"BCL11A"	2.41537833072735	1.12716012361253	13.2000183870622	7.59677925868052e-37	4.71944156309725e-34	72.5944140642299
"CETN3"	-0.464126236894741	3.9566882295672	-13.1661591161304	1.11485859342826e-36	6.53020457824935e-34	72.4504199352765
"ZFP36L2"	0.843147239461468	7.58851020307074	13.1732952604527	1.02833408872246e-36	6.20055210379385e-34	72.4358448362476
"CLSTN2"	-1.89023215230234	4.79998942390189	-13.0844600469116	2.80513151368506e-36	1.59744447672381e-33	71.4906093307745
"KCNJ3"	-3.35894649363284	-0.167968219929846	-13.0493439481452	4.16543152092285e-36	2.30798680028214e-33	71.0408931180095
"CDC42EP1"	0.822324031371394	6.01649518080093	12.9922023178247	7.91354445031475e-36	4.26935723094481e-33	70.44686847834
"LEMD1"	1.70252980863495	-3.13672866802664	12.9199809748141	1.77582325046611e-35	9.33491088661688e-33	69.7222540793407
"DEFB1"	2.22698764863381	-0.146053143649507	12.9107449051791	1.96875427270085e-35	1.009035783616e-32	69.4479768756284
"LOC150622"	1.81322578569944	-2.86615306398324	12.8639312630446	3.31797198777203e-35	1.65906692003206e-32	69.1012013879271
"SLC19A2"	-0.912224524815574	5.61050309614552	-12.8572163354322	3.57552559325723e-35	1.70469419040387e-32	68.9422512555141
"MRAP2"	1.68651267644956	-0.273316175968665	12.8595611715666	3.48340362855383e-35	1.70031566164243e-32	68.8532699273058
"SLC6A14"	2.85393235453925	0.271352982522251	12.7634858011604	1.0122216027253e-34	4.71626251760711e-32	67.8622186336492
"KLK6"	2.83200229124821	0.186741195551365	12.7477312935668	1.2050556465918e-34	5.48996573572853e-32	67.6943011831001
"HSD17B2"	2.24169156984962	-0.777067215255835	12.7230260710213	1.58354364605115e-34	7.05744093210751e-32	67.4494194877881
"KRT16"	3.30058601255396	1.77076518550032	12.7082160727936	1.86492740001499e-34	8.13465460163985e-32	67.2347214613451
"UBE2E3"	0.989470748786025	5.0379575880438	12.6860506868139	2.38155876152919e-34	1.01717367021062e-31	67.1221493755074
"NXN"	1.00022919275951	4.75094610083867	12.6819752731783	2.49099636467149e-34	1.04220237698225e-31	67.0915403692981
"ACE2"	1.85732668423633	-1.85897367983373	12.6778384278009	2.60720039106262e-34	1.06900430434349e-31	67.0158093383594
"SPNS3"	1.16794662938501	-1.54717589384519	12.6724479462308	2.7667467917828e-34	1.11217796035959e-31	66.903777095241
"EPHB6"	1.61263186093996	1.99425588242693	12.6676584201146	2.91663499586943e-34	1.14988334712152e-31	66.8414479898962
"LY6D"	2.28146528857436	-1.78191256195524	12.6497776291246	3.55113651694132e-34	1.37361980629838e-31	66.7160536710299
"RNF14"	-0.412180316320965	6.20069594296158	-12.5976819566375	6.29411570535562e-34	2.38954937176844e-31	66.0862453492581
"RERG"	-1.37049092630142	5.5296684101036	-12.5866489814048	7.1036653087745e-34	2.64785895445793e-31	65.9791440364215
"AMY1A"	1.80392795448141	-1.89051339264979	12.5817819967971	7.49294258771184e-34	2.74308599983358e-31	65.9782490570341
"CRHR1"	1.74012538621728	-1.51772441718291	12.5721562735775	8.32641267497628e-34	2.9947330920998e-31	65.8405359669013
"THSD4"	-1.62643478004704	6.27389513056287	-12.5689028653446	8.62847580721776e-34	3.04986866420295e-31	65.7668579760296
"PTPN1"	-0.675534393106993	6.53259127804702	-12.5441097942022	1.1318207024448e-33	3.93278918996964e-31	65.4959966533397
"PAIP2"	-0.358757183872539	6.72499647210439	-12.5327255897186	1.28183329695044e-33	4.37981073679681e-31	65.3709634360459
"RAD17"	-0.405822379114408	5.05636870934836	-12.524769775067	1.39825360801875e-33	4.69927823245778e-31	65.3360240314008
"TMEM200C"	1.31174087634672	-0.850169541952829	12.5123151137368	1.60197208254012e-33	5.29710155873468e-31	65.12676669875
"LONRF2"	-1.71347396706755	4.13006530117443	-12.4928750342997	1.98047355443126e-33	6.3440138030305e-31	65.0233173804086
"ARHGEF4"	1.49094001110922	1.66804654938563	12.4944455357373	1.94684459588374e-33	6.33527953336706e-31	64.9555442368498
"ARSG"	-1.14283727190274	3.69455403171922	-12.4836082731042	2.19099754523017e-33	6.91040625765595e-31	64.9488323272186
"ART3"	2.01906243858228	-2.36724054815161	12.4339644161724	3.76076571071195e-33	1.12651996625053e-30	64.4218291096284
"GDF5"	1.66919722278172	-1.29205651108993	12.4411434238589	3.47846477374208e-33	1.0804849443407e-30	64.4173434907554
"TGM5"	1.71999146874103	-1.90005441271001	12.4358484717283	3.68454548864052e-33	1.12651996625053e-30	64.4101516278759
"ATP13A5"	2.42039883932131	-1.01316029614556	12.4332150337345	3.79151639779946e-33	1.12651996625053e-30	64.3529372766313
"KCTD6"	-0.877211354798647	3.87607829706461	-12.4047689467212	5.16354638724853e-33	1.51225520692832e-30	64.0961685572822
"NCRNA00162"	1.27040180427791	-3.50666952636209	12.3996659865563	5.45741642133842e-33	1.57580977540646e-30	64.0621970620017
"CACNA2D2"	-1.49363135576375	3.17078004874436	-12.3934945485409	5.83512141893159e-33	1.66146978068773e-30	63.9942489563919
"C11orf75"	0.921869421392875	3.3354608922311	12.378070548256	6.896668281827e-33	1.88518128594314e-30	63.8306918758606
"CLCN4"	1.40566536843989	1.92862022889228	12.3843370626451	6.44399765056027e-33	1.80970405252241e-30	63.8037879821911
"BPI"	1.69122182824275	-2.82485709942216	12.375210479674	7.11364788463419e-33	1.91890651688007e-30	63.8024105620223
"GPR12"	1.95470258809333	-2.39646403919245	12.3725836967686	7.31890459203352e-33	1.94863458495168e-30	63.7659058367075
"TMBIM6"	-0.462500203365348	10.1468895347824	-12.3806084918199	6.70964608979329e-33	1.85884397955206e-30	63.7073565073417
"TRIM29"	2.89566879925095	4.12200985943847	12.3581301504362	8.55828622184383e-33	2.24940289530795e-30	63.6119198079527
"KCNK15"	-1.77013900774463	1.9144338324943	-12.3356868434019	1.09086231126101e-32	2.76095904236569e-30	63.3682072633066
"G6PC3"	-0.614705369875792	6.24022593296247	-12.3386841166544	1.0560980151535e-32	2.71828442361978e-30	63.288267625788
"ELP2"	-0.872779769393083	6.84917576439924	-12.3382780794578	1.06074217789172e-32	2.71828442361978e-30	63.2718603451318
"GRAMD2"	1.95034712661586	2.21852934283875	12.329686417395	1.16391556678001e-32	2.90993085787279e-30	63.2303284248583
"MCF2L2"	1.10827541331054	-2.06361672897785	12.3220673804303	1.26372478909287e-32	3.12140022905939e-30	63.1954834389117
"FLJ45983"	-2.04423658318522	2.25537296545043	-12.3110478140378	1.42331998928892e-32	3.4737479881443e-30	63.1175078894113
"FSCN1"	0.945623995330969	5.92971521404975	12.297315316812	1.65052190711976e-32	3.98086466092497e-30	62.8784563045311
"RND3"	1.07224536245261	5.30083087575338	12.2665576978935	2.29874293165647e-32	5.4798289351034e-30	62.5861794387313
"SLC16A6"	-1.67717901013148	2.92853179005713	-12.2603118359811	2.45851786728893e-32	5.79334193072304e-30	62.5772004576338
"TSG101"	-0.354135672263494	6.3083290637245	-12.2514030004132	2.70570182323574e-32	6.30336284979045e-30	62.3561592310247
"CNGA1"	1.5891075975257	-0.850290903574927	12.236808646036	3.16513017231903e-32	7.29082400704634e-30	62.2189051713086
"GFRA1"	-2.62458497420208	6.52539921945369	-12.2324186093388	3.31793749780005e-32	7.55789296026654e-30	62.1446841734672
"KIAA1045"	1.40227999856682	-1.46273362800265	12.2090676518225	4.26279706655695e-32	9.60347281994331e-30	61.9580943900298
"KLK8"	2.21220130761915	-1.55863035040717	12.1976699148848	4.81679526636698e-32	1.07335999734554e-29	61.8712810488647
"C17orf58"	-0.775340846177499	4.68514684903898	-12.1890241204291	5.28427611050585e-32	1.15601096294978e-29	61.7521362792556
"CDHR1"	1.3720677251784	-1.34701663153756	12.1887383548365	5.30047463622651e-32	1.15601096294978e-29	61.7339232856146
"RGMA"	1.68677109701889	3.28873485200949	12.1748407059736	6.15082079892335e-32	1.31352059582008e-29	61.6623460603672
"KRT7"	1.9430888342519	7.60758554382161	12.181277454474	5.74131767315398e-32	1.23897635386663e-29	61.608052354484
"AGGF1"	-0.411618620061104	5.55415858822535	-12.1728801076487	6.28122996650352e-32	1.32754119116792e-29	61.5444118977937
"CD82"	0.952264896708466	5.51891297164126	12.1346962368764	9.44679261440977e-32	1.97621117742872e-29	61.1708652659229
"PTX3"	1.97093077299377	0.324111963164115	12.1014851844055	1.34619743602495e-31	2.78771652888358e-29	60.735873237869
"CCND1"	-1.19856801377295	8.53428428320569	-12.0732846578778	1.81753242079929e-31	3.72612321588062e-29	60.4411043976921
"MIA"	2.60043161937911	0.572660880530396	12.0549375800665	2.20892975716464e-31	4.48368999521113e-29	60.2816117427679
"MDM2"	-0.594136855400039	6.7155579223926	-12.0455501428799	2.44052076266887e-31	4.905207466223e-29	60.1668272168915
"BARX1"	1.59731458616214	-2.13892831692928	12.0264128716524	2.99004827625299e-31	5.8941326645637e-29	60.0971314001376
"ACADSB"	-1.14727377385361	6.28810401236625	-12.0334363875846	2.77537563228321e-31	5.52407532402311e-29	60.0450393923377
"CSDA"	0.949466850978606	6.49458419796705	12.0203480134061	3.18865104371353e-31	6.22576524258772e-29	59.9232477689897
"TRPM6"	1.48993226766677	-1.43887225765333	12.0036912138152	3.80415618741043e-31	7.28869214935525e-29	59.8107846674801
"APBB2"	-0.767818446032727	6.68154700923049	-12.0070290980593	3.67201409621466e-31	7.10188311193366e-29	59.7617765514087
"A2ML1"	2.37589270958483	-1.06393534953757	11.9743667585296	5.18815282960419e-31	9.84836307034403e-29	59.5215240849747
"KIAA1467"	-1.28742873562492	5.75033503058352	-11.9648470327567	5.73728240723346e-31	1.07908281312563e-28	59.3388235276653
"SPNS2"	1.05263196491068	3.84655035946508	11.9456531474728	7.02625177809083e-31	1.30950170638764e-28	59.2696069704533
"ANXA3"	1.7316389016418	3.99886551633852	11.9359048449689	7.78729158014424e-31	1.41280765207555e-28	59.1705176654404
"KRT6A"	2.61955129845132	-0.312503077855487	11.9378162437762	7.6318762656564e-31	1.40267203764062e-28	59.1198727674979
"CCDC43"	-0.432467992174713	4.81800194691933	-11.9374303205236	7.66300513222521e-31	1.40267203764062e-28	59.102728117751
