"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CDC25B"	1.06078865933993	5.71120071196452	16.7272525412796	1.08257229251384e-55	8.53608252647166e-53	115.804095037759
"ORC1L"	1.64407580234294	2.16021624668381	16.7328372165055	1.00577261481844e-55	8.24773775055715e-53	115.757537754
"PGR"	-3.09670137202527	4.65694364844316	-16.6921809992997	1.71794359968532e-55	1.30442821248699e-52	115.355922101336
"TPX2"	1.73185345123368	5.71313232794508	16.6526301631453	2.88994860890772e-55	2.11595844397204e-52	114.841967871931
"RACGAP1"	1.05257471690149	5.35598631554773	16.6100234248942	5.05690457943567e-55	3.57488278562106e-52	114.284824086417
"CX3CR1"	-1.67152494882358	2.78463749227173	-16.5970049269248	5.99875894038846e-55	4.09935190123012e-52	114.140180345706
"STMN1"	1.09699753550545	7.36375713507319	16.5037021748955	2.03568993413316e-54	1.34624772063432e-51	112.843651746758
"TUBA1B"	0.580959474343763	9.77226594965093	16.4669723196237	3.28957912457894e-54	2.10748942603103e-51	112.348148914964
"CCNA2"	1.63948355974161	4.14003165954963	16.4064413217635	7.24520509410862e-54	4.5010287767976e-51	111.670851525174
"GINS3"	0.751849452996567	3.17762386219725	16.38627233461	9.42209425058514e-54	5.51892440660703e-51	111.390506983269
"PIF1"	1.57563720695661	0.621177065590387	16.3981695451535	8.06964121461013e-54	4.86575631002124e-51	111.283142244057
"UBXN10"	-1.73456829970021	3.14822250345146	-16.3411901803867	1.69389429142073e-53	9.64625746344899e-51	110.829887298824
"CENPA"	1.88170551041218	2.18530328045395	16.3306193328944	1.94338439351638e-53	1.07679252571566e-50	110.550343648358
"SKA1"	1.80187040677283	2.39662663796659	16.287907574341	3.38406589807135e-53	1.82570355200949e-50	110.025983904878
"C12orf48"	1.07154353795463	2.66396014214151	16.282586018957	3.62597658154824e-53	1.90605502303386e-50	110.009028902106
"PRC1"	1.34040375031876	5.49418345166482	16.2193935857741	8.22374546464195e-53	4.21487514426561e-50	109.223736845097
"GTF2IRD2P1"	-0.722236772619911	3.67696434879165	-16.2117861686187	9.07464460757111e-53	4.53754363658086e-50	109.160754166898
"BLM"	1.35188969099518	2.91969858819686	16.2077740079271	9.55821006605596e-53	4.66554439438603e-50	109.061795339941
"AURKA"	1.60970610379258	4.16049391202335	16.1951257290851	1.12572985408864e-52	5.36711342759797e-50	108.949440030966
"MYBL2"	2.36775136160526	4.8243828125102	16.174330468512	1.47295969929113e-52	6.86298790799261e-50	108.683012035625
"PTPRT"	-2.86623438473532	3.68459211507377	-16.1668883856726	1.62163736493758e-52	7.38781947079674e-50	108.576645218036
"RAD51"	1.43178608919634	2.83829711871825	16.0444335809286	7.86168854768593e-52	3.50374949817629e-49	106.967271548483
"MAD2L1"	1.26533524403003	4.11003170969038	16.0354396836989	8.82565961355992e-52	3.8014333294229e-49	106.906568934467
"KIF18A"	1.52763163113644	2.63819139098001	16.0347831007081	8.90048289411732e-52	3.8014333294229e-49	106.824738945207
"C17orf53"	0.924057222275411	2.17212576177611	16.0202001953001	1.07355053473422e-51	4.49160398216044e-49	106.617267698338
"TUBB"	0.608911545759676	9.97777972331866	15.9996621930107	1.39765980770818e-51	5.6183183760442e-49	106.325898861944
"NEIL3"	1.83257174955781	1.01037444728514	16.0004702550731	1.38323203886644e-51	5.6183183760442e-49	106.236482208955
"CENPW"	1.3982797677372	2.89184902569144	15.9526534908426	2.55464021136447e-51	1.00716690333044e-48	105.806071366792
"CENPE"	1.58331013198935	3.80163668694918	15.931087274417	3.36776532086367e-51	1.27856586746345e-48	105.573026132131
"SGOL1"	1.77732761938473	1.6018522637753	15.9406203103355	2.98060271121996e-51	1.15293087137208e-48	105.527786041981
"CHEK1"	1.0289700915812	3.34774887946657	15.9278203983438	3.51166423164762e-51	1.30895688023651e-48	105.525140661924
"FAM47E"	-1.42137688563664	2.06720321669361	-15.9212769191672	3.81858757933317e-51	1.39794399935552e-48	105.423088876848
"MAPT"	-2.26392695231701	5.73889360479814	-15.8806467995146	6.42180209087544e-51	2.3097081520182e-48	104.845940759077
"SHCBP1"	1.54433878394275	3.08093574984445	15.8741075364974	6.98166631812016e-51	2.46777829634106e-48	104.819439502769
"H2AFZ"	0.738398645930199	7.52254917042584	15.8520248957103	9.25727366551228e-51	3.21666724435029e-48	104.460156144633
"CKS1B"	0.853815802104311	5.45272630034554	15.8448898577038	1.014027202075e-50	3.46476194495661e-48	104.427858157898
"ANKRD30A"	-3.65370435240412	2.32035247654402	-15.8061781392565	1.66163314844135e-50	5.58444937314691e-48	103.9933478156
"CCNE1"	1.80877151200336	1.95422978718222	15.7943991573019	1.93079098511194e-50	6.38437838480322e-48	103.713916289302
"TUBA1C"	0.800994932022924	7.55300836976754	15.7896804600737	2.0504371482881e-50	6.6723828535007e-48	103.669114133257
"SERPINA11"	-3.00329812124478	1.31146160012007	-15.7699794530012	2.6351942121994e-50	8.44126821004685e-48	103.502392605207
"SPAG5"	1.44732066705607	4.82101727474768	15.7220247930181	4.84962212469927e-50	1.52957081813015e-47	102.915800586217
"CENPO"	0.878889250704855	2.76181870064035	15.718064192015	5.09992794863426e-50	1.58414580113562e-47	102.847493725064
"NCAPH"	1.5974098295186	3.54025726524273	15.7011863085572	6.319250648918e-50	1.93359638139504e-47	102.659079104777
"BTG2"	-1.25930268026287	7.59337624885176	-15.6776945810218	8.51431827185818e-50	2.56694174840242e-47	102.246174870627
"TRIP13"	1.45940098481177	3.8762662603019	15.6657180339376	9.91102285923903e-50	2.92605273477302e-47	102.221909445965
"POLQ"	1.58461349062035	2.45135414179221	15.6650848786405	9.99091222058003e-50	2.92605273477302e-47	102.138850055821
"DONSON"	0.914834610985452	3.80496377779929	15.6519698470322	1.17979882906544e-49	3.33137794398788e-47	102.049812334272
"ARHGAP11A"	1.30596359009324	4.10591439361185	15.6515403777169	1.1862376952886e-49	3.33137794398788e-47	102.043801194221
"CASC1"	-1.62428894127888	0.589989263771514	-15.6592282926961	1.076098949142e-49	3.10719782483945e-47	102.010180122353
"NCAPG"	1.6248320733647	4.05238221000921	15.6456919553076	1.27748849075137e-49	3.53916102012078e-47	101.970804614998
"C16orf61"	0.725159916539448	3.93936981533991	15.6258180885792	1.64313499489289e-49	4.49145473737323e-47	101.719252504722
"CDCA5"	1.6002662855948	4.29856283459265	15.6245975639878	1.66872203381929e-49	4.50137768622753e-47	101.704709367677
"FANCA"	1.49582080230429	3.28093597451153	15.6101630170645	2.00320186691349e-49	5.1984356295688e-47	101.507592883445
"C6orf97"	-1.76173472171252	3.71029846540396	-15.6089487170776	2.03421658965318e-49	5.21293428805999e-47	101.491733224907
"FANCB"	1.06025039451065	0.317555104437455	15.6212445615421	1.74107719568068e-49	4.63556150501944e-47	101.433376912725
"CENPI"	1.6125917998711	1.22920885345428	15.6136486473353	1.91676876937797e-49	5.03790724884843e-47	101.392025036974
"GTF2IRD2"	-0.665903779490565	4.37709932612738	-15.5882646845443	2.64244411956313e-49	6.68799344384737e-47	101.211547793665
"C10orf26"	-0.535385257144673	6.62883045791472	-15.5613710458944	3.71179755484253e-49	9.27994654534471e-47	100.794264678756
"E2F2"	1.56554187347215	2.77965856419142	15.5524777423368	4.15290557390938e-49	1.02576767675562e-46	100.755393967563
"ABCC8"	-2.75469598767992	1.16870090538937	-15.5467492841892	4.46432636772259e-49	1.08956136743668e-46	100.688126385961
"PGPEP1"	-0.781153874585027	4.97884917779502	-15.5048515075987	7.57231291551156e-49	1.82635278918709e-46	100.134153351951
"MKI67"	1.62168960831748	6.12781473537198	15.4851407980224	9.70627592150683e-49	2.31381817054432e-46	99.8818175280615
"E2F1"	1.49168767562957	4.01759697095882	15.4656665357106	1.24022618891255e-48	2.92251460906853e-46	99.7165141624952
