"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FAM83D"	0.942125918959133	2.63350152772829	7.26277298294006	1.41160288248034e-12	8.26836305535124e-10	18.0564329176557
"CDC45"	0.957982437536474	1.68237813686108	7.26690059463605	1.37304825976884e-12	8.26836305535124e-10	18.003714851895
"ORC1L"	0.7838149526298	1.32725095639895	7.26506870735061	1.39002969814543e-12	8.26836305535124e-10	17.9480709840718
"CDC20"	0.893170963463773	3.60292864492547	7.24265869033528	1.61526524371907e-12	9.19848687819018e-10	17.9474424365325
"CEP55"	0.864522673524834	3.02752489022778	7.22143706803578	1.86148731631702e-12	1.00427240715303e-09	17.8069775604906
"FAM63A"	-0.481981789258982	5.90882202468143	-7.22581904203528	1.80779315692656e-12	1.00166398676085e-09	17.7662391390582
"AURKA"	0.736033314721396	3.33420583739019	7.18212215827424	2.41900151036474e-12	1.27158846061506e-09	17.5595356066801
"PNP"	0.459785398032113	5.13480802875126	7.1777898461106	2.48968264319818e-12	1.27602459670515e-09	17.474239074964
"AURKB"	0.891445177046073	1.82328054795892	7.16581034848581	2.69587243858666e-12	1.34800197227964e-09	17.37631868306
"PGPEP1"	-0.412287957515813	5.35773141055078	-7.14485055610652	3.09777555988256e-12	1.51208325602744e-09	17.2615424452905
"UBE2C"	0.992336916531905	3.38692707371074	7.12531814056361	3.52505482538265e-12	1.60593664389266e-09	17.1970919362297
"DEPDC1"	0.916632299008608	2.24048680253558	7.1264243790288	3.4993784372117e-12	1.60593664389266e-09	17.1639723297004
"RARRES1"	1.13636497549493	3.84254083535726	7.11911170681359	3.67258204807957e-12	1.63677401234085e-09	17.148752310948
"CENPA"	0.848572070754852	1.21285837567596	7.13156040830967	3.38255731169841e-12	1.60593664389266e-09	17.0989720058235
"PHOSPHO2"	-0.502701777853021	2.50448900907272	-7.10518418823389	4.02609313316746e-12	1.71326998120835e-09	17.0239090389428
"CTSL2"	0.865860251484174	1.37136347987044	7.11197457031136	3.84974688648772e-12	1.67922682808265e-09	16.9938698764111
"TUBA1C"	0.406550748065376	7.15702655994437	7.10261249738297	4.09493337296763e-12	1.71326998120835e-09	16.94816453267
"BBS5"	-0.350795479842766	3.68645997189658	-7.05987998676963	5.42360218636053e-12	2.18037681275507e-09	16.7823195693497
"CDCA5"	0.749184529044623	3.48520726528262	7.0598663482383	5.4240874811233e-12	2.18037681275507e-09	16.7816844798934
"SPEF2"	-0.601492042541193	3.86624978661311	-7.05612806920988	5.5587273053791e-12	2.19152824014571e-09	16.7573496051985
"E2F2"	0.779518175552554	1.99901040656845	7.04004359918265	6.17649607610795e-12	2.35373718168225e-09	16.6025591970363
