"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"KRT5"	3.6856007270923	4.22003238383317	11.1683776389935	5.43811052255514e-26	4.45946815291612e-23	48.2258434689251
"ZFP36L2"	0.980981523898434	7.37603151059434	11.1738428768257	5.1771674168978e-26	4.4223795505759e-23	48.1662196826922
"SERPINB5"	2.67244830895478	1.79625780436071	11.1584182742728	5.94770353214355e-26	4.68976423509519e-23	48.1233322512239
"KLK8"	2.87819064355039	-1.9989253063984	11.0973630624187	1.02893329758632e-25	7.81265241993225e-23	47.4924059297751
"CHST3"	1.12579613512184	4.15480745507079	11.0776683356904	1.22746258990334e-25	8.98721805557443e-23	47.4129169257905
"MIA"	2.59341866373512	-0.251383249767692	11.0676303040704	1.3428570353055e-25	9.49307313130967e-23	47.2121013015674
"KRT17"	3.27493302824816	4.20193990445483	11.0088531357021	2.27038410745916e-25	1.55150481956734e-22	46.8132776066202
"SFRS13B"	1.29378917899357	-1.40294840111997	11.0004074773024	2.44800067886157e-25	1.56832693491691e-22	46.5880627597846
"C6orf105"	1.53076147886022	-0.326397360246388	11.0009102375989	2.43705107320768e-25	1.56832693491691e-22	46.5762168619984
"SYT8"	2.71030882375172	-0.865906666527281	10.9796946405798	2.94424982215936e-25	1.82909289709361e-22	46.4553440776691
"FAT2"	2.43007471262748	1.67657927193756	10.9078160631744	5.57780090627713e-25	3.26715703941678e-22	45.9213334265322
"RNF175"	1.2484866688882	-1.40983625609323	10.9219909904635	4.91842954931276e-25	2.96566835854297e-22	45.9078667848869
"MRAP2"	1.91657395054062	-0.714156569263468	10.8824058037548	6.98713974167042e-25	3.97898199566626e-22	45.5747641945261
"FERMT1"	2.10524915986105	-0.080766642892856	10.860417982816	8.48883799750116e-25	4.7035045347776e-22	45.3928529406182
"IRX1"	2.21398726128948	0.943496899843463	10.8320600937776	1.09078722435091e-24	5.88479707537317e-22	45.2194105227935
"DEFB1"	2.34622047684711	-0.798074970650509	10.808397052411	1.34422802652045e-24	7.06615865940915e-22	44.958409919196
"IL34"	1.49994411240533	1.73577378091117	10.7814886312328	1.70413674452143e-24	8.73412684985844e-22	44.8183087936106
"CLCA2"	3.05237775302186	0.309749465584988	10.7511472799018	2.22584172676976e-24	1.11297515220748e-21	44.5058234533653
"KRT14"	3.67885553331662	3.82495632868957	10.7400522858691	2.45391280599823e-24	1.19780158180404e-21	44.4805178057539
"OSR1"	2.17483063757076	0.94239116006964	10.7152901896869	3.05010197521714e-24	1.45418931613783e-21	44.2143550314923
"EGFR"	1.83205814748433	2.79395116422498	10.6865798984778	3.92341310436826e-24	1.82804300119667e-21	44.0336624743741
"SOX10"	3.30727852962923	0.670655039210239	10.6735301612913	4.39853296350555e-24	2.00387387299616e-21	43.8674705784434
"PROS1"	1.10646999374031	4.28553139940398	10.6282767934921	6.53391739439136e-24	2.91199653266125e-21	43.4837970825654
"ID4"	1.73433506691564	3.02158552486486	10.6060428954449	7.9332469785423e-24	3.46041481504459e-21	43.3400843661154
"SLPI"	2.21492415126358	3.31110575207258	10.5611490716236	1.17297825121794e-23	5.00983898504562e-21	42.9489708342891
"KRT81"	2.44463764553848	1.20968101281159	10.5304455990496	1.53175550134421e-23	6.28050390661154e-21	42.6573170426301
