"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"GGT1"	-1.41991861938341	3.75325540789373	-11.0393309535532	7.60765201647776e-27	5.19881579966035e-24	50.1126718761398
"LOC150622"	-2.79002430140664	-2.86615306398324	-11.0236136685748	8.89348606534414e-27	5.88146315566517e-24	49.5933843150981
"ASB13"	0.914269523038182	5.85395238221008	10.9327843723527	2.18547271365519e-26	1.40013675320766e-23	49.0554244081531
"GGCT"	-0.764916056181142	6.59552271930565	-10.9108008628184	2.71441508946986e-26	1.68630981058247e-23	48.8032093486823
"TBX10"	-2.11536346611214	-4.31642676628662	-10.8823426934523	3.59180487263524e-26	2.16575269687927e-23	48.4956969332585
"SERHL2"	-1.84570481165388	2.93069216659113	-10.7927670962735	8.64106307341518e-26	4.92084539078013e-23	47.7303387072005
"SLC25A18"	-1.46069962462054	-0.36346696490125	-10.795710721633	8.39609572069462e-26	4.91795309628458e-23	47.4571406787818
"NPY5R"	2.18658500971494	-1.5739355773035	10.7121128820524	1.89561110499849e-25	1.05032225036687e-22	46.8948600094131
"ZP2"	-1.75132548053302	-4.51163675152047	-10.6228846351547	4.496446367049e-25	2.42583281502293e-22	46.0705234661847
"KMO"	-1.49841013917742	2.44212685041365	-10.6170589869223	4.75636603003366e-25	2.50026307645436e-22	46.0495583179068
"MED24"	-0.758156874480843	6.52597978814571	-10.6013391682537	5.53450978524331e-25	2.83657462768183e-22	45.8273334538534
"C17orf39"	0.585614866124488	4.07720249933419	10.5869867741381	6.35465725613405e-25	3.17748361970742e-22	45.7697271601684
"PRODH"	-1.93730608389053	2.23860543168218	-10.5836839473427	6.55984395638984e-25	3.20198478452257e-22	45.7361414652753
"CYP4Z2P"	-2.32131055461124	1.67438167618468	-10.5579753119993	8.3985713305317e-25	4.00416536854024e-22	45.484533353124
"GGTLC2"	-1.40779511776372	1.01547313816115	-10.515703143681	1.25953416693223e-24	5.86857044460854e-22	44.9869610190227
"HDAC5"	0.576148265706248	6.0520785352019	10.4802576158356	1.76751249941624e-24	8.05239416678495e-22	44.7087521915876
"ANKS4B"	-1.0970687692275	-4.60247839508276	-10.4672407576541	2.00126141536582e-24	8.91910006009013e-22	44.6382144525452
