"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ABCC8"	4.53268649233276	-0.621193516716536	16.6857394752508	1.50735650003164e-48	1.81778327100874e-45	99.5107774256007
"SPDEF"	3.79417897687056	4.93190589921843	16.6510484160474	2.14421077349075e-48	2.44213694818522e-45	99.3061053063646
"SLC39A6"	2.18560894201419	8.32520441815331	16.6313110496073	2.62008876794169e-48	2.82707578060908e-45	99.0345570281527
"THSD4"	2.85165816310916	5.08059435560593	16.5905475661895	3.9630376817247e-48	4.0623117756519e-45	98.686183200225
"GPR77"	2.56032985144912	0.488691598735991	16.5690453405656	4.92931431603122e-48	4.81218441871219e-45	98.2133164071302
"SCUBE2"	4.15554621072267	5.1155616537591	16.5157805975812	8.46069485533275e-48	7.88421387405348e-45	97.941902262091
"ABAT"	2.62108519836261	4.23317130209094	16.4827779858134	1.18220673969542e-47	1.05375740741286e-44	97.6134584270394
"ANKRD30A"	5.76913526336182	0.370388453672693	16.474294657089	1.28833667248832e-47	1.10050792177846e-44	97.4707425915869
"YBX1"	-0.998227800549349	8.60951945498142	-16.3490014594712	4.58101343387354e-47	3.75661425631366e-44	96.1852814152186
"TTC8"	1.04981803901473	4.35963057335606	16.3110319799609	6.72562279490529e-47	5.30315357378283e-44	95.8806885045592
"ANXA9"	2.78471481285567	2.9155013846142	16.2088604185237	1.88821872140971e-46	1.43371748176372e-43	94.8370958119594
"KIAA1370"	1.57249814149538	5.4441843208378	16.0255979934476	1.19818899474803e-45	8.77288306476051e-43	92.9836384937689
"ARSG"	2.03125058991479	2.80659437741525	15.955079694282	2.43625274622706e-45	1.72226267415175e-42	92.3002290828101
"SYT9"	4.01401456697752	-0.456102861725175	15.923091361971	3.36058490670871e-45	2.29651170574784e-42	91.8718508112025
"SLC22A5"	1.30062180648344	4.09319311639504	15.9017628995059	4.16405998211047e-45	2.66773105291396e-42	91.7893931084433
"GATA3"	2.98551537705959	6.91335789830948	15.9084600361033	3.89301690184231e-45	2.57453998402159e-42	91.7833419363204
"AGR3"	6.22931077327993	1.85350802304515	15.7797407878609	1.41760061794054e-44	8.80673644496939e-42	90.5239266741119
"GPR160"	1.96986829237019	4.35968786793217	15.6893832263665	3.50627276478969e-44	2.11417935149863e-41	89.6692882022005
"ERGIC1"	0.980833600582413	7.85710838479317	15.6562392928392	4.88607053419627e-44	2.86198091490165e-41	89.2485448516276
"SIDT1"	2.71543279435777	3.50164542284374	15.6101247854991	7.75062259548794e-44	4.41376427305828e-41	88.8920749193989
"KCNJ11"	2.46314378434212	2.4645736795732	15.592636266758	9.23179899685714e-44	5.11516516850185e-41	88.6845670851656
"TFF1"	6.80620852289957	1.46757803636853	15.5809046155955	1.03805919781436e-43	5.60032937220848e-41	88.5801701162779
"RABEP1"	1.21476484796423	6.71380607816649	15.5473881180232	1.45105846430369e-43	7.62773066068971e-41	88.1778270932103
"SERPINA11"	4.37292623205288	-0.245006332757218	15.531879151224	1.69420352645762e-43	8.68321662397689e-41	88.0245765285913
"AR"	3.91201485491671	2.22898798856837	15.4861468831208	2.67456641835396e-43	1.33734844250426e-40	87.6235513201578
"CCDC125"	1.18766650916136	4.1321285989248	15.4794832877396	2.8584609317128e-43	1.3648747695332e-40	87.5889832882676
"TMBIM6"	0.780218849062489	9.82101240172796	15.4793323831533	2.86276840592789e-43	1.3648747695332e-40	87.4812986930363
"SYTL5"	3.81748011496065	0.427427680450203	15.4649053160053	3.30596851796543e-43	1.54035592242749e-40	87.3311622650636
"ATP8B1"	1.35955909128068	5.78453546040299	15.4426124443209	4.129162806834e-43	1.88115481562008e-40	87.1600643006073
"ACADSB"	1.89763407164078	5.46154419431155	15.3795950121896	7.73778406550576e-43	3.44852850275943e-40	86.5510352446366
"TMPRSS6"	3.23532639273618	-0.57710927545105	15.3625771390223	9.16685399667588e-43	3.99850369757132e-40	86.294457595537
"CAPN8"	4.2233521601084	0.818861087345667	15.3312933237757	1.2515990293487e-42	5.34563160430784e-40	86.0397792483363
"F7"	3.30927092651088	-0.262767575798326	15.3261384941404	1.31747641706453e-42	5.40191680524797e-40	85.9411380697892
"LRRC46"	2.00895014986905	0.592082908710379	15.3290504058229	1.27984890280383e-42	5.35473109313903e-40	85.9317336817348
"MAPT"	3.23070803231113	4.44649434557968	15.2712975271343	2.27308909536606e-42	9.13737245962735e-40	85.5334761514671
"TFF3"	5.59218317761699	3.20335719305926	15.2447576774958	2.95911500657545e-42	1.14461918395855e-39	85.266778637618
"C5orf36"	1.46225262161654	1.21390618395751	15.2514910080227	2.76761957214002e-42	1.0911340163162e-39	85.2150022305441
"C9orf98"	1.74682440019171	0.967942168797074	15.2424812994979	3.02680161765887e-42	1.14911962895601e-39	85.109927852453
"SCNN1A"	2.61952430606399	5.40874377636698	15.2017294393657	4.53678198117888e-42	1.69106486174815e-39	84.8037036490055
"RUNDC1"	0.966701019012217	5.14040990602572	15.1765944923625	5.8222005488108e-42	2.11062552536198e-39	84.5511970181914
"KDM4B"	1.26424169364909	6.25325497761034	15.1757999561784	5.86828227626131e-42	2.11062552536198e-39	84.5065200818748
"TTC36"	3.60339748628398	-1.41522701315413	15.1730203966885	6.03237497189926e-42	2.13223653963632e-39	84.4575651214038
"FAM174A"	1.02800221108319	3.70562402876463	15.1538971761632	7.29246320316481e-42	2.53394556149291e-39	84.384434126845
"C6orf97"	2.67582704282957	2.44290623653466	15.1519752469946	7.43280149397071e-42	2.53966439046489e-39	84.3433098930632
"NOSTRIN"	2.42265166738442	3.09983172835701	15.1399002176072	8.37830140695412e-42	2.81579601875355e-39	84.2461199969027
"INPP4B"	2.39292918820983	3.45190427364975	15.1379098582691	8.54528733377743e-42	2.82559573596405e-39	84.2298567820806
"C14orf45"	1.3311893778552	3.2411333473894	15.1328853660719	8.98175414890077e-42	2.92277685407325e-39	84.179656556275
"DNAJC12"	2.87392346418643	2.83401848016602	15.1061217722395	1.17101949478183e-41	3.75110479101911e-39	83.907788510036
"ZMYND10"	2.76909341397124	1.36728363043871	15.1005494918171	1.23749138943894e-41	3.90304784229042e-39	83.7750353061767
"SLC16A6"	2.72534314955067	1.71787313183675	15.0074421483383	3.11027767549242e-41	9.66118221595003e-39	82.8885463721629
"CACNA2D2"	2.5453528929206	2.02930370519449	14.993610936297	3.56610401591155e-41	1.09117460343586e-38	82.7709910982136
"REEP5"	0.922624244442156	7.70949260056079	14.9689399092894	4.55089089415414e-41	1.37202667972138e-38	82.4467374960391
"SLC7A13"	2.15874971892226	-3.68157967630696	14.9248544933908	7.03402051739484e-41	2.08991963227698e-38	82.129693954851
"NAT1"	3.53213073088839	3.74591303019811	14.8926247367556	9.66821670517645e-41	2.83154443818318e-38	81.8246727228494
